,Наименование,Город,ИНН,Благонадежный (да/нет),Маил Добро,Маил Добро ссылка,Ссылка на сайт,Нужна помощь,Нужна помощь Описание,Нужна помощь Ссылка,Нужна помощь Фонд
60,"Межрегиональная общественная организация ""Общество развития продуктивных инициатив"", тематическое отделение ""Территория передышки""",Пермь,5904075778.0,да,,,,,,,0
61,"Пермская региональная общественная организация ""Солнечный круг""",Пермь,5904206484.0,да,,,,,,,0
62,"Псковская региональная общественная благотворительная организация ""Росток""",Порхов Псковской области,6017009789.0,да,,,,,,,0
63,"Автономная некоммерческая зоозащитная организация ""Шанс""",Псков,6027999310.0,да,Благотворительный фонд «Волонтеры-детям»,https://dobro.mail.ru/funds/blagotvoritelnyij-fond-volonteryi-detyam/,http://kaluga-detyam.ru/,,,,0
64,"Благотворительный фонд помощи детям ""Доброе дело""",Ростов-на-Дону,6161052138.0,да,,,,,,,0
65,"Благотворительный фонд ""Я без мамы""",Ростов-на-Дону,6165139870.0,да,,,,,,,0
66,"Ростовская региональная общественная организация инвалидов ""Центр лечебной педагогики и социальной терапии ""СВеЧа""",Ростов-на-Дону,6168047578.0,да,,,,,,,0
67,"Региональная общественная организация волонтёров Самарской области ""Домик детства""",Самара,6311997036.0,да,РООВСО «Домик детства»,https://dobro.mail.ru/funds/roovso-domik-detstva/,http://www.domikdetstva.ru/,Домик детства,"Помощь детям-сиротам, детям-инвалидам, воспитанникам детских домов",6414841.0,https://nuzhnapomosh.ru/funds/domik-detstva/
68,"Благотворительный фонд ""Радость жизни""",Южно-Сахалинск,6501235371.0,да,,,,,,,0
69,Свердловская региональная общественная организация «Уральская палата защиты потребителей»,Екатеринбург,6606999222.0,да,,,,,,,0
70,"Благотворительный детский фонд ""Мы вместе""",Екатеринбург,6670210124.0,да,,,,,,,0
71,"Благотворительный детский фонд ""Мы вместе""",Екатеринбург,6670210124.0,да,,,,,,,0
72,"Благотворительный фонд ""Надежная смена""",Москва,6671220365.0,да,,,,,,,0
73,"Ассоциация лидеров бизнеса и образования ""Клуб ""Корифей""",Екатеринбург,6672150294.0,да,Благотворительный образовательный фонд «Мархамат»,https://dobro.mail.ru/funds/blagotvoritelnyij-obrazovatelnyij-fond-marhamat/,http://fond-marhamat.ru/,Клуб добряков,помощь тяжелобольным детям и взрослым,217776.0,https://nuzhnapomosh.ru/funds/klub-dobryakov/
74,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ЭКОЛОГИЧЕСКИХ ПРОЕКТОВ И ПОМОЩИ НАСЕЛЕНИЮ ""СБЕРЕГИ ЖИЗНЬ""",ЕКАТЕРИНБУРГ,6679128315.0,нет,,,,,,,0
75,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ СОДЕЙСТВИЯ РАЗВИТИЮ ГРАЖДАНСКИХ ИНИЦИАТИВ И КРЕАТИВНЫХ ИНДУСТРИЙ ""ГОРОДСКИЕ ИНИЦИАТИВЫ""",Екатеринбург,6679129502.0,да,,,,,,,0
76,"Благотворительный Фонд ""ПРЕОДОЛЕНИЕ""",Тамбов,6829911486.0,да,Благотворительный фонд «Преодоление»,https://dobro.mail.ru/funds/blagotvoritelnyij-fond-preodolenie/,http://fond68.ru/,,,,0
77,"Благотворительный фонд ""ДОБРЫЙ МИР""",Тверь,6950025607.0,да,,,,,,,0
78,"Благотворительный фонд ""Семь профессий""",Москва,6950245289.0,да,,,,,,,0
79,"Автономная некоммерческая организация социальной помощи нуждающимся ""Другая медицина""",Челябинск,7451442759.0,да,,,,Другая медицина,Медико-профилактическая помощь бездомным и нуждающимся людям,11540.0,https://nuzhnapomosh.ru/funds/drugaya-medicina/
80,"Благотворительный фонд ""Поможем Таланту"" имени Ильи Севостьянова",Челябинск,7452128697.0,да,,,,,,,0
81,"Челябинское региональное благотворительное общественное движение помощи онкобольным детям ""Искорка Фонд""",Челябинск,7453076191.0,да,Челябинское региональное благотворительное движение помощи онкобольным детям «Искорка Фонд»,https://dobro.mail.ru/funds/chelyabinskoe-regionalnoe-blagotvoritelnoe-dvizhenie-iskorka-fond/,https://onco74.ru/,,,,0
82,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ДОБРОЕ СЕРДЦЕ. ПРОЯВИ ДОБРОТУ СВОЕГО СЕРДЦА""",Магнитогорск,7455025756.0,нет,,,,,,,0
83,Частное учреждение Благотворительного фонда Металлург Центр социального обслуживания населения,Магнитогорск,7455029084.0,да,,,,,,,0
84,"Автономная Некоммерческая Организация помощи животным ""Маленькая жизнь""",Магнитогорск,7456990396.0,да,,,,Маленькая жизнь,Защита животных и охрана окружающей среды,1345753.0,https://nuzhnapomosh.ru/funds/malenykaya-ghizny/
85,"Благотворительный фонд помощи семье и детям, находящихся в трудной жизненной ситуации ""Семья плюс""",Челябинск,7460030705.0,да,,,,Семья плюс,Открытое пространство для реализации социально значимых проектов,31766.0,https://nuzhnapomosh.ru/funds/semyya-plyus/
86,"Благотворительный фонд ""Мы Рядом!""",Челябинск,7460990208.0,да,Благотворительный фонд «Мы Рядом!»,https://dobro.mail.ru/funds/myi-ryadom/,http://miryadom.ru/,Мы Рядом!,Помощь детям с онкогематологическими диагнозами и буллезным эпидермолизом,695995.0,https://nuzhnapomosh.ru/funds/my-ryadom/
87,Фонд развития Политехнического музея,Москва,7701012102.0,да,Фонд развития Политехнического музея,https://dobro.mail.ru/funds/fond-razvitiya-politehnicheskogo-muzeya/,https://pmfound.org/,,,,0
88,"Благотворительный фонд Оксаны Федоровой ""Спешите делать добро!""",Москва,7701056639.0,да,,,,,,,0
89,"ФОНД СОДЕЙСТВИЯ ПОВЫШЕНИЮ ОБРАЗОВАТЕЛЬНОГО И КУЛЬТУРНОГО УРОВНЯ ЖЕНЩИН, МОЛОДЕЖИ И ДЕТЕЙ ""ВОЛГА""",Москва,7701058925.0,да,,,,,,,0
90,"Благотворительный фонд ""Арифметика добра""",Москва,7701093849.0,да,Благотворительный фонд «Арифметика добра»,https://dobro.mail.ru/funds/arifmetika-dobra-2/,https://a-dobra.ru/,Арифметика добра,"Помощь детям-сиротам: устройство в семьи, образование, социализация и адаптация",5775479.0,https://nuzhnapomosh.ru/funds/arifmetika-dobra/
91,"Благотворительный фонд ""Тепло сердец""",Москва,7701359136.0,да,,,,,,,0
92,"Благотворительный фонд ""АиФ. Доброе сердце""",Москва,7701619391.0,да,Благотворительный фонд «АиФ. Доброе сердце»,https://dobro.mail.ru/funds/blagotvoritelnyij-fond-aif-dobroe-serdtse/,http://dobroe.aif.ru/,АиФ. Доброе сердце,"помощь тяжелобольным детям, инвалидам, одиноким и престарелым людям, подопечным детских домов",1506914.0,https://nuzhnapomosh.ru/funds/aif-dobroe-serdce/
93,"Фонд поддержки социальных программ и инициатив ""Лавка радостей""",Москва,7702428375.0,да,,,,Лавка радостей,"Разносторонняя помощь людям, попавшим в трудную жизненную ситуацию",637821.0,https://nuzhnapomosh.ru/funds/lavka-radostey/
94,"Благотворительный фонд ""Национальный Фонд Поддержки Здоровья Женщин""",Москва,7702470070.0,да,,,,,,,0
95,"Благотворительный фонд защиты животных ""Вирта""",Москва,7702470137.0,да,,,,Вирта,Развитие ответственного отношения к животным в России,25070.0,https://nuzhnapomosh.ru/funds/virta/
96,Общественная организация защиты животных РусДог,Москва,7703418370.0,да,,,,,,,0
97,"Фонд поддержки лиц с нарушением развития и интеллекта ""Лучшие друзья""",Москва,7704277026.0,да,Фонд «Лучшие друзья»,https://dobro.mail.ru/funds/fond-luchshie-druzya/,http://www.bestbuddies.ru/,Лучшие друзья,Включение людей с нарушением развития и интеллекта во все сферы жизни общества ,689053.0,https://nuzhnapomosh.ru/funds/luchshie-druzyya/
98,Благотворительный фонд помощи воспитанникам и выпускникам детских домов «Константа»,Тверь,7704278510.0,да,Благотворительный фонд помощи воспитанникам и выпускникам детских домов «Константа»,https://dobro.mail.ru/funds/blagotvoritelnyij-fond-pomoschi-vospitannikam-i-vyipusknikam-detskih-domov-konstanta-2/,http://constanta-fund.ru/,,,,0
99,Московская Школа Профессиональной Филантропии,Москва,7704314253.0,да,,,,,,,0
100,"Некоммерческая организация ""Благотворительный фонд ""Даунсайд Ап""",Москва,7705159882.0,да,Благотворительный фонд «Нужна помощь»,https://dobro.mail.ru/funds/nuzhna-pomosch/,https://nuzhnapomosh.ru,Волгоградский областной благотворительный фонд защиты животных,Помощь бездомным животным Волгоградской области,552093.0,https://nuzhnapomosh.ru/funds/volgogradskiy-oblastnoy-blagotvoritelynyy-fond-zaschity-ghivotnyh/
101,"Благотворительный фонд ""Созидание""",Москва,7705401519.0,да,Благотворительный фонд «АК БАРС СОЗИДАНИЕ»,https://dobro.mail.ru/funds/blagotvoritelnyj-fond-ak-bars-sozidanie/,http://www.akbarssozidanie.ru/index.php,Созидание,Помощь детям с редкими заболеваниями,7373492.0,https://nuzhnapomosh.ru/funds/sozidanie/
102,"Благотворительный фонд ""Волонтеры в помощь детям-сиротам""",Москва,7706412841.0,да,Ассоциация «Все вместе»,https://dobro.mail.ru/funds/np-vse-vmeste/,http://wse-wmeste.ru/,Волонтеры в помощь детям-сиротам,Решение проблем социального сиротства в России,9253022.0,https://nuzhnapomosh.ru/funds/volontery-v-pomoschy-detyam-sirotam/
103,БФ Предание,Москва,7706413901.0,да,,,,,,,0
104,Старшие Братья Старшие Сестры,Москва,7707326144.0,да,Волонтерская программа «Старшие Братья Старшие Сестры»,https://dobro.mail.ru/funds/starshie-bratya-starshie-sestryi/,http://www.nastavniki.org/,Старшие Братья Старшие Сестры (Санкт-Петербург),"Индивидуальное наставничество для детей, нуждающихся в поддержке",544835.0,https://nuzhnapomosh.ru/funds/starshie-bratyya-starshie-sestry-(sankt-peterburg)/
105,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОДДЕРЖКИ НУЖДАЮЩИХСЯ ""7 ЖИЗНЕЙ""",Москва,7707332099.0,нет,,,,,,,0
106,"Благотворительный фонд ""Семейная в помощь""",Москва,7707438948.0,да,,,,,,,0
107,"Благотворительный фонд ""Дети Марии""",Москва,7707440295.0,да,,,,Дети Марии,"Помощь детям-сиротам, выпускникам интернатов, детям и взрослым с особенностями развития",542498.0,https://nuzhnapomosh.ru/funds/deti-marii/
108,"Благотворительный фонд ""Фонд продовольствия ""Русь""",Москва,7708240852.0,да,Фонд продовольствия «Русь»,https://dobro.mail.ru/funds/blagotvoritelnyj-fond-bank-prodovolstviya-rus/,http://foodbankrus.ru/,"Фонд продовольствия ""Русь""",Продовольственная помощь нуждающимся,3146146.0,https://nuzhnapomosh.ru/funds/fond-prodovolystviya-rusy/
109,"Благотворительный фонд в поддержку материнства ""Быть мамой""",Москва,7708279948.0,да,,,,,,,0
110,"Благотворительный фонд ""Центр содействия еврейской жизни молодежи ""ГИЛЕЛЬ""",Москва,7708525449.0,да,,,,,,,0
111,"Региональная общественная организация инвалидов ""Перспектива""",,7709215200.0,да,Фонд «Лучшие друзья»,https://dobro.mail.ru/funds/fond-luchshie-druzya/,http://www.bestbuddies.ru/,Перспектива,Включение людей с инвалидностью во все сферы жизни общества,648010.0,https://nuzhnapomosh.ru/funds/perspektiva/
112,"Региональный общественный благотворительный фонд содействия культурному и спортивному развитию детей и молодежи ""Дети Мира""",Москва,7709254872.0,да,,,,,,,0
113,"Благотворительный фонд ""Иллюстрированные книжки для маленьких слепых детей""",Москва,7710018647.0,да,,,,,,,0
114,"Благотворительный фонд ""Дети Наши""",Москва,7710475499.0,да,Ассоциация «Все вместе»,https://dobro.mail.ru/funds/np-vse-vmeste/,http://wse-wmeste.ru/,Дети наши,"Профилактика социального сиротства, содействие интеграции в общество детей-сирот",5108545.0,https://nuzhnapomosh.ru/funds/deti-nashi/
